iter	Passed	Remaining
844	4495	824
845	4499	819
846	4504	813
847	4510	808
848	4515	803
849	4520	797
850	4525	792
851	4530	787
852	4535	781
853	4541	776
854	4545	770
855	4551	765
856	4556	760
857	4561	755
858	4566	749
859	4572	744
860	4577	739
861	4582	733
862	4587	728
863	4592	722
864	4597	717
865	4602	712
866	4607	706
867	4612	701
868	4617	696
869	4623	690
870	4627	685
871	4632	680
872	4638	674
873	4643	669
874	4648	664
875	4653	658
876	4657	653
877	4662	647
878	4667	642
879	4672	637
880	4677	631
881	4681	626
882	4687	621
883	4691	615
884	4696	610
885	4701	604
886	4706	599
887	4711	594
888	4716	588
889	4722	583
890	4726	578
891	4731	572
892	4737	567
893	4741	562
894	4746	556
895	4752	551
896	4756	546
897	4760	540
898	4765	535
899	4771	530
900	4776	524
901	4781	519
902	4787	514
903	4792	508
904	4796	503
905	4801	498
906	4806	492
907	4811	487
908	4816	482
909	4821	476
910	4825	471
911	4830	466
912	4834	460
913	4839	455
914	4844	450
915	4849	444
916	4853	439
917	4858	433
918	4863	428
919	4868	423
920	4873	418
921	4877	412
922	4882	407
923	4888	402
924	4893	396
925	4897	391
926	4902	386
927	4907	380
928	4911	375
929	4916	370
930	4920	364
931	4925	359
932	4930	354
933	4935	348
934	4939	343
935	4943	338
936	4949	332
937	4953	327
938	4958	322
939	4962	316
940	4967	311
941	4971	306
942	4976	300
943	4980	295
944	4985	290
945	4990	284
946	4994	279
947	4999	274
948	5004	268
949	5009	263
950	5013	258
951	5018	253
952	5023	247
953	5028	242
954	5031	237
955	5036	231
956	5041	226
957	5046	221
958	5050	215
959	5055	210
960	5060	205
961	5065	200
962	5069	194
963	5074	189
964	5078	184
965	5083	178
966	5088	173
967	5093	168
968	5097	163
969	5102	157
970	5107	152
971	5111	147
972	5115	141
973	5120	136
974	5125	131
975	5130	126
976	5135	120
977	5139	115
978	5145	110
979	5150	105
980	5155	99
981	5158	94
982	5164	89
983	5169	84
984	5174	78
985	5179	73
986	5183	68
987	5188	63
988	5194	57
989	5198	52
990	5203	47
991	5207	41
992	5212	36
993	5217	31
994	5222	26
995	5226	20
996	5232	15
997	5236	10
998	5240	5
999	5245	0
